postcode,latitude,longitude
AB101,57.144165,-2.114848
AB106,57.137880,-2.121487
AB107,57.124274,-2.127190
AB115,57.142701,-2.093295
AB116,57.137547,-2.112233
AB117,57.132260,-2.108021
AB118,57.135978,-2.072115
AB119,57.137690,-2.091614
AB123,57.098003,-2.077438
AB124,57.064273,-2.130018
AB125,57.081938,-2.246567
AB129,57.148707,-2.097806
AB130,57.098044,-2.239155
AB140,57.101557,-2.268486
AB154,57.144348,-2.129704
AB155,57.147428,-2.147266
AB156,57.151797,-2.185398
AB157,57.131668,-2.171355
AB158,57.154006,-2.224402
AB159,57.118648,-2.174251
AB165,57.163466,-2.159333
AB166,57.158751,-2.165215
AB167,57.168438,-2.161636
AB169,57.153046,-2.159404
AB210,57.263420,-2.158605
AB211,57.199815,-2.190886
AB217,57.212136,-2.185602
AB219,57.189905,-2.170814
AB228,57.201122,-2.119527
AB229,57.188895,-2.132250
AB238,57.185054,-2.096248
AB239,57.185029,-2.096254
AB241,57.166527,-2.088164
AB242,57.166306,-2.116835
AB243,57.157584,-2.095234
AB244,57.164151,-2.134006
AB245,57.151236,-2.078078
AB251,57.149014,-2.116598
AB252,57.155776,-2.127926
AB253,57.160542,-2.123231
AB259,57.159649,-2.117954
AB301,56.897304,-2.449809
AB314,57.138239,-2.641268
AB315,57.056328,-2.490325
AB316,57.045664,-2.454898
AB319,57.057343,-2.485871
AB326,57.150269,-2.293978
AB327,57.140299,-2.433025
AB329,57.148550,-2.288775
AB338,57.207008,-2.904968
AB344,57.100190,-2.642179
AB345,57.079571,-2.771503
AB355,57.043111,-3.233388
AB368,57.197315,-3.030657
AB379,57.406560,-3.363924
AB387,57.529267,-3.209816
AB389,57.470642,-3.226418
AB392,56.964770,-2.237109
AB393,57.038973,-2.149324
AB398,57.032299,-2.172379
AB399,56.965230,-2.207895
AB411,57.366518,-2.084027
AB416,57.324783,-2.000100
AB417,57.413095,-2.194126
AB418,57.446890,-2.086890
AB419,57.369548,-2.100722
AB420,57.417520,-1.848922
AB421,57.508558,-1.781439
AB422,57.506472,-1.802078
AB423,57.471705,-1.782542
AB424,57.581262,-2.008130
AB425,57.497402,-1.998450
AB429,57.505731,-1.786429
AB436,57.595986,-2.201056
AB437,57.675683,-2.127542
AB438,57.677123,-1.935099
AB439,57.682043,-2.017258
AB441,57.668946,-2.500228
AB451,57.664586,-2.520701
AB452,57.638350,-2.789418
AB453,57.589743,-2.581101
AB510,57.274644,-2.317340
AB511,57.286933,-2.375706
AB513,57.282442,-2.390224
AB514,57.287447,-2.381219
AB515,57.239908,-2.454538
AB516,57.292562,-2.367833
AB517,57.181168,-2.544746
AB518,57.414572,-2.466339
AB526,57.333808,-2.609210
AB534,57.537634,-2.461597
AB535,57.588951,-2.392682
AB536,57.511589,-2.226228
AB538,57.477802,-2.368543
AB539,57.537222,-2.462113
AB544,57.450860,-2.817801
AB546,57.426710,-2.737629
AB547,57.592533,-2.621377
